"Part Number","Library Ref","Resistance","Tolerance","Current Rating","Voltage Rating (DC)","Case Code (Imperial)","Power Rating","Mount","Manufacturer","Manufacturer Part Number","Description","Footprint Ref","Height","HelpURL","RoHS","Max Operating Temperature","Stats"
"R_10_0402_0.1","R","10","0.1%",,"50V","0402","63mW","Surface Mount","Yageo","RT0402BRD0710RL","Thin Film Resistor","R_0402_1005","0.3mm","http://datasheet.octopart.com/RT0402BRD0710RL-Yageo-datasheet-10915759.pdf","Compliant","125","MK"
"R_100_0402_0.1","R","100","0.1%",,"50V","0402","63mW","Surface Mount","Yageo","RT0402BRE07100RL","Thin Film Resistor","R_0402_1005","0.3mm","http://datasheet.octopart.com/RT0402BRE07100RL-Yageo-datasheet-86813807.pdf","Compliant","125","MK"
"R_100K_0402_1","R","100k","1%",,"50V","0402","63mW","Surface Mount","Yageo","RC0402FR-07100KL","Thick Film Resistor","R_0402_1005","0mm","http://datasheet.octopart.com/RC0402FR-07100KL-Yageo-datasheet-127823281.pdf","Compliant","155","MK"
"R_100K_0603_1","R","100k","1%",,,"0603","250mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_100K_0805_1","R","100k","1%",,"150V","0805","125mW","Surface Mount","Bourns","CR0805-FX-1003ELF","Thick Film Resistor","R_0805_2012","0mm","http://datasheet.octopart.com/CR0805-FX-1003ELF-Bourns-datasheet-5318152.pdf","Compliant","155","MK"
"R_100K_1206_1","R","100k","1%",,"200V","1206","250mW","Surface Mount","Bourns","CR1206-FX-1003ELF","Thick Film Resistor","R_1206_3216","0mm","http://datasheet.octopart.com/CR1206-FX-1003ELF-Bourns-datasheet-5318152.pdf","Compliant","155","MK"
"R_100R_0402_1","R","100","1%",,"50V","0402","63mW","Surface Mount","Yageo","RC0402FR-13100RL","Thick Film Resistor","R_0402_1005","0mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"0°C",
"R_100R_0603_1","R","100","1%",,"50V","0603","125mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_100R_0805_1","R","100","1%",,,"0805","250mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_100R_1206_1","R","100","1%",,"200V","1206","100mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_100R_1206_1","R","100","1%",,"500V","1206","100mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_100R_1210_1","R","100","1%",,,"1210","100mW","Surface Mount",,,,"R_1210_3225","0mm",,,"0°C",
"R_105K_0402_1","R","105k","1%",,,"0402","25mW","Surface Mount","Yageo","RC0402FR-07105KL",,"R_0402_1005","0mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"0°C",
"R_10K_0402_0.1","R","10k","0.1%",,"50V","0402","63mW","Surface Mount","Yageo","RT0402BRD0710KL","Thin Film Resistor","R_0402_1005","0.3mm","http://datasheet.octopart.com/RT0402BRD0710KL-Yageo-datasheet-10915759.pdf","Compliant","125","MK"
"R_10K_0402_1","R","10k","1%",,"50V","0402","100mW","Surface Mount","Panasonic","ERJ-2RKF1002X","Thick Film Resistor","R_0402_1005","350µm","http://datasheet.octopart.com/ERJ-2RKF1002X-Panasonic-datasheet-13266541.pdf","Compliant","155","MK"
"R_10K_0603_1","R","10k","1%",,,"0603","250mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_10K_0805_1","R","10k","1%",,"150V","0805","125mW","Surface Mount","Yageo","RC0805FR-1310KL","Thick Film Resistor","R_0805_2012","0.5mm","http://datasheet.octopart.com/RC0805FR-1310KL-Yageo-datasheet-127823281.pdf","Compliant","155","MK"
"R_10K_1206_1","R","10k","1%",,,"1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_10M_1206_1","R","10Meg","1%",,"200V","1206","63mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_10R_0402_1","R","10","1%",,"50V","0402","63mW","Surface Mount","Yageo","RC0402FR-1310RL","Thick Film Resistor","R_0402_1005","0.35mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_10R_0603_1","R","10","1%",,"50V","0603","100mW","Surface Mount",,,,"R_0603_1608","0.45mm",,,"155°C",
"R_10R_0603_5","R","10","5%",,"50V","0603","100mW","Surface Mount",,,,"R_0603_1608","0.5mm",,,"155°C",
"R_10R_0805_1","R","10","1%",,"150V","0805","100mW","Surface Mount","Bourns","CR0805-FX-10R0ELF","Thick Film Resistor","R_0805_2012","0.5mm","http://datasheet.octopart.com/CR0805-FX-10R0ELF-Bourns-datasheet-5318152.pdf","Compliant","155","MK"
"R_10R_1206_1","R","10","1%",,"200V","1206","25mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_110K_0603_1","R","110k","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
